service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
chouette:TimeTable:526173e5-8b71-4dfe-ba77-e9a7c8866d1f:LOC,0,1,1,1,1,1,0,20260217,20260227
JANV2026-10-Samedi-01-10,0,0,0,0,0,1,0,20260110,20260307
JANV2026-10-Dimanche-01-10,0,0,0,0,0,0,1,20260111,20260308
chouette:TimeTable:530d504b-2227-46c5-b8c0-662b73686de8:LOC,0,1,1,1,1,1,0,20260107,20260307
chouette:TimeTable:18451c94-4d3c-433d-8ff4-86b13760619f:LOC,1,0,0,0,0,0,0,20260112,20260308
PROJET2025-61-Dimanche-28-61,0,0,0,0,0,0,1,20260111,20260308
PROJET2025-61-Samedi-28-61,0,0,0,0,0,1,0,20260110,20260307
PROJET2025-61-Semaine-30-61,1,1,1,1,1,0,0,20260216,20260227
JANV2026-15-Dimanche-39-15,0,0,0,0,0,0,1,20260111,20260308
JANV2026-15-Samedi-40-15,0,0,0,0,0,1,0,20260110,20260307
PROJET2025-09-Samedi-35-09,0,0,0,0,0,1,0,20260110,20260307
PROJET2025-09-Dimanche-16-09,0,0,0,0,0,0,1,20260111,20260201
PROJET2025-09-Dimanche-15-09,0,0,0,0,0,0,1,20260208,20260308
JANV2026-05-Samedi-35-05,0,0,0,0,0,1,0,20260110,20260307
JANV2026-05-Mercredi-39-05,0,0,1,0,0,0,0,20260107,20260304
JANV2026-05-Dimanche-34-05,0,0,0,0,0,0,1,20260111,20260308
chouette:TimeTable:81c7be3a-4614-47bb-9bf2-d1b3ed5bf9dc:LOC,0,0,0,1,0,0,0,20260108,20260305
chouette:TimeTable:9e7ce5df-700d-4a70-902b-230efccd9f08:LOC,1,0,0,0,0,0,0,20260112,20260308
chouette:TimeTable:d2c2fae1-606f-47cd-bb93-121753027e97:LOC,0,1,1,0,1,1,0,20260107,20260307
JANV2026-12-Samedi-03-12,0,0,0,0,0,1,0,20260110,20260307
JANV2026-12-Dimanche-06-12,0,0,0,0,0,0,1,20260111,20260308
chouette:TimeTable:8882aeca-f0ca-46e6-917a-13fe9d2bf5fd:LOC,0,1,1,1,1,1,0,20260107,20260307
chouette:TimeTable:04e8624e-86a3-4a1b-ba39-29c22eacba94:LOC,1,0,0,0,0,0,0,20260112,20260308
JANV2026-16-Dimanche-33-16,0,0,0,0,0,0,1,20260111,20260308
JANV2026-16-Samedi-33-16,0,0,0,0,0,1,0,20260110,20260307
PROJET2025-NIsola-Samedi-26-NIso,0,0,0,0,0,1,0,20260110,20260307
PROJET2025-NIsola-Dimanche-26-NIso,0,0,0,0,0,0,1,20260111,20260308
PROJET2025-NIsola-Semaine-21-0010000-NIso,0,0,1,0,0,0,0,20260114,20260304
