service_id,date,exception_type
PROJET2026-76-Semaine-92-1110100-76,20260217,2
PROJET2026-76-Semaine-92-1110100-76,20260218,2
PROJET2026-76-Semaine-92-1110100-76,20260220,2
PROJET2026-76-Semaine-92-1110100-76,20260223,2
PROJET2026-76-Semaine-92-1110100-76,20260224,2
PROJET2026-76-Semaine-92-1110100-76,20260225,2
PROJET2026-76-Semaine-92-1110100-76,20260227,2
PROJET2026-76-Semaine-92-1110100-76,20260304,2
PROJET2024-75-Semaine-86-1101100-75,20260216,2
PROJET2024-75-Semaine-86-1101100-75,20260217,2
PROJET2024-75-Semaine-86-1101100-75,20260219,2
PROJET2024-75-Semaine-86-1101100-75,20260220,2
PROJET2024-75-Semaine-86-1101100-75,20260223,2
PROJET2024-75-Semaine-86-1101100-75,20260224,2
PROJET2024-75-Semaine-86-1101100-75,20260226,2
PROJET2024-75-Semaine-86-1101100-75,20260227,2
PROJET2025-85-Semaine-06-1101100-85,20260216,2
PROJET2025-85-Semaine-06-1101100-85,20260217,2
PROJET2025-85-Semaine-06-1101100-85,20260219,2
PROJET2025-85-Semaine-06-1101100-85,20260220,2
PROJET2025-85-Semaine-06-1101100-85,20260223,2
PROJET2025-85-Semaine-06-1101100-85,20260224,2
PROJET2025-85-Semaine-06-1101100-85,20260226,2
PROJET2025-85-Semaine-06-1101100-85,20260227,2
PROJET2026-34-L-Ma-J-V-23-34,20260216,2
PROJET2026-34-L-Ma-J-V-23-34,20260217,2
PROJET2026-34-L-Ma-J-V-23-34,20260219,2
PROJET2026-34-L-Ma-J-V-23-34,20260220,2
PROJET2026-34-L-Ma-J-V-23-34,20260223,2
PROJET2026-34-L-Ma-J-V-23-34,20260224,2
PROJET2026-34-L-Ma-J-V-23-34,20260226,2
PROJET2026-34-L-Ma-J-V-23-34,20260227,2
PROJET2024-88-Semaine-83-1101100-88,20260216,2
PROJET2024-88-Semaine-83-1101100-88,20260217,2
PROJET2024-88-Semaine-83-1101100-88,20260219,2
PROJET2024-88-Semaine-83-1101100-88,20260220,2
PROJET2024-88-Semaine-83-1101100-88,20260223,2
PROJET2024-88-Semaine-83-1101100-88,20260224,2
PROJET2024-88-Semaine-83-1101100-88,20260226,2
